Name,时间,状态,论文,代码,检测方式,位置回归,简介,缺点
ICN：面向无约束遥感图像的多类目标检测,"2018 SOTA
ACCV",,已读,未开源,两阶段,基于角度参数回归,提出一个新的联合图像级联和可变形初始网络(DIN)的特FPN，提取多尺度的强和弱语义特征。基于旋转的区域提议和感兴趣区域网络中以产生目旋转检测框。旋转非最大值抑制(R-NMS)来去除冗余检测。,使用了更复杂的结构，造成了速度瓶颈
"ROI-
Transformer：航空图像中面向目标检测的roi变换学习","2019
CVPR",,已读,https://github.com/dingjiansw101/AerialDetection（MMD）,两阶段,基于角度参数回归,提出了一个RoI转换器。核心思想是在有向包围盒(OBB)标注的监督下，对ROI区域应用空间转换并学习转换参数。,使用了更复杂的结构，造成了速度瓶颈
SCRDet: 对小的、杂乱的和旋转的物体进行更稳健的检测,"2019 
ICCV",,已读,https://github.com/DetectionTeamUCAS,两阶段,,,使用了更复杂的结构，造成了速度瓶颈
Gliding Vertex:用于多方向目标检测水平边框上滑动顶点,"2020
Pattern Analysis and Machine
Intelligence",,已读,https://github.com/MingtaoFu/gliding_vertex,两阶段,基于顶点滑动回归,该方法通过滑动水平锚框的顶点（回归除水平边界框之外的四个长度比和倾角因子来替换旋转边界框或顶点回归）可以更好地学习偏移量，实现精确的多方向对象检测，并且不会出现混淆问题。,使用了更复杂的结构，造成了速度瓶颈
R2CNN:用于文本检测的旋转区域CNN,"2017 ",,未读,https://github.com/yangxue0827/R2CNN_HEAD_FPN_Tensorflow,两阶段,,使用区域建议网络(RPN)来生成文本的HBB（水平框），并结合不同比例的集合感兴趣区域特征来回归OBB的参数。,
R-DFPN：基于多尺度旋转密集特征金字塔网络的遥感船舶自动检测,2018 RS,,已读,未开源,两阶段,基于角度参数回归,DFPN通过密集连接FPN为所有尺度构建高级语义特征图，增强了特征传播并鼓励特征重用。设计了旋转锚策略来预测物体的最小外接矩形，减少冗余检测区域，提高召回率。为了保持语义和空间信息的完整性，提出了多尺度感兴趣区域对齐。,使用生成旋转锚框，造成计算冗余
RRPN:通过旋转方案进行任意方向的场景文本检测,2018,,未读,,两阶段,,,
CAD-Net：遥感图像中目标的上下文感知检测网络,,,已读,,两阶段,,,
APE：用于表示航空图像中定向对象的自适应周期嵌入,2020 RS,,已读,,两阶段,,,
SCRDet++-MS：通过实例级特征去噪和旋转损失平滑遥感检测,,,已读,,两阶段,基于角度参数回归,,
ReDet:一种用于空中目标检测的旋转等变探测器,2021,,,,两阶段,,,
,,,,,,,,
R^3Det:对旋转物体进行特征精细化的单级检测器（RetinaNet-H 基准）,2019 Baseline,准备中,已读,https://github.com/SJTU-Thinklab-Det/r3det-on-mmdetection（ MMdetection）,单阶段,基于角度参数回归,,
BBAVectors：具有框边界向量的遥感旋转目标检测,2020 SOTA,研究中,已读,https://github.com/yijingru/BBAVectors-Oriented-Object-Detection,单阶段,基于盒边界感知向量,,
DAL:面向任意对象的动态锚学习,,研究中,已读,https://github.com/ming71/DAL,,,将动态锚点选择和匹配敏感损失集成到训练中，提高了高精度的检测性能，缓解了分类与回归任务之间的差距。,
S2A-Net:用于旋转目标的特征对齐,2020,准备中,已读,"https://github.com/csuhan/
s2anet(MMdetection)",单阶段,,提出了一个由两个模块组成的单次对准网络：特征对准模块(FAM)和定向检测模块(ODM)。FAM可以使用锚细化网络生成高质量的锚，并且使用对准卷积根据锚盒自适应地对准卷积特征。ODM首先采用主动旋转滤波器对方向信息进行编码产生方位敏感特征，然后通过汇集方位敏感特征来提取方位不变特征。,
RSDet:学习调制损耗旋转目标检测,2019 SOTA,准备中,已读,https://github.com/Mrqianduoduo/RSDet-8P-4R（TF）,单阶段,基于角度参数回归,提出一种新的调制旋转损失函数Lmr来解决损失的不连续问题；使用八参数回归解决优化回归不一致性。,
DRN:面向密集对象检测的动态细化网络," 2020 CVPR ",准备中,已读,"1.https://github.com/Anymake/DRN_CVPR2020（不完整）
2.https://github.com/fyu/drn",单阶段,,CenterNet作为基线，提出了一个动态精化网络，它由特征选择模块(FSM）和动态精化头(DRH)构成。FSM能够根据目标对象的形状和方向调整感受野，DRH使模型能够以对象感知的方式动态地改进预测。,
PDF-Net:光学遥感图像显著目标检测的并行自下而上融合网络,"2020 
ORSSD SOTA ",,已读,无代码,单阶段,,提出了一种新的并行自下而上融合网络(PDF-Net)，包括公共特征提取网络、自下而上的密集连接采样网络、多分辨率显著特征融合网络。充分利用路径内的低层次和高层次特征以及跨路径的多分辨率特征来区分不同尺度的显著目标和抑制杂乱背景，,
,,,,,,,,
IENet：用于航空目标探测的单级无锚探测器,2019,,已读,无代码,单阶段,基于角度参数回归,基于FCOS网络，并使用独立的分支将定向任务添加到网络中，以回归定向参数。提出了一种基于每像素预测方式检测器的一级无锚定向目标检测器。,
P-RSDet：基于极坐标的遥感图像目标检测,2020,,已读,https://github.com/Mrqianduoduo/RSDet-8P-4R（TF）,单阶段,基于极坐标,提出了一种无锚极坐标遥感目标检测器。通过预测中心点，回归一个极半径和两个极角，可以实现任意方向的物体检测。,
O2-DNet：将对象定向为成对的中线,2019,,已读,无代码,单阶段,基于中线,O2-DNet是一个单级、无锚和无NMS模型。以检测定向对象的一对中线（及回归四个端点）,
SCRDet++：通过实例级特征去噪和旋转损失平滑遥感检测,2020,,已读,https://yangxue0827.github.io/SCRDet++.html（打不开）,单阶段,基于角度参数回归,,
CFC-Net：遥感图像中旋转目标检测的关键特征捕获网络,2021,准备中,已读,https://github.com/ming71/CFC-Net,单阶段,基于角度参数回归,提出了一种关键特征捕获网络，从建立强有力的特征表示、细化预设锚点和优化标签分配三个方面来提高检测精度,
Rotated-RetinaNet,,研究中,已读,https://github.com/kongyan66/Rotated-RetinaNet,单阶段,,,
,,,,,,,,
," ",,,,,,,
,,,,,,,,